reviewer,stars,title,review,date,country
Amazon Customer,5,Five Stars,"Five Stars. Awesome book, great perspective on success!!",2016-02-04,Estados Unidos
Juliann Jochim,5,Five Stars,Five Stars. Great book. read every page from beginning to end.,2014-10-11,Estados Unidos
Roberto Poyato,5,Five Stars,Five Stars. Really good book highly recommend it,2014-10-10,Estados Unidos
Enson,5,Amazing!!,"Amazing!!. I had read this book before, but in portuguese. I confess that this book surprises me every time I read it!!",2013-01-10,Estados Unidos
hector sanchez,5,great,great. it was very good and insightful. It motivates me to work hard in what I love to do! thank you!,2015-08-17,Estados Unidos
Jill,5,changed my life,changed my life. The OUTLIERS is one of the few books I can read over again.  It has changed the way I see the world in so many ways.  It is fascinating; everyone should read it.,2013-06-28,Estados Unidos
JB,5,Great Read!,Great Read!. I like this book because it explores some of the hidden reasons behind success.  Usually books that deal with success only bring to light the factors that one can control.  I believe this book shares new insight as to how environment also plays a role in one's success.,2010-10-06,Estados Unidos
Brandy Johnson,5,Very insightful,Very insightful. I was really surprised by many of the facts pointed out by this book and Gladwell is very insightful as usual.,2013-01-10,Estados Unidos
Charlie S.,4,Four Stars,Four Stars. good book to read if you want to know about success,2014-09-15,Estados Unidos
Øyvind Husby,4,Four Stars,Four Stars. Interesting book,2015-06-03,Estados Unidos
"K L Satyanarayana, MD, FRCPC",5,Five Stars,Five Stars. Very good book,2015-05-30,Estados Unidos
A. Greaves,2,English Teachers Don't Read Their Recommendations,"English Teachers Don't Read Their Recommendations. Summer reading, once again demonstrating that those selecting summer reading spend less time selecting the material they inflict than actually thinking about their students needs.  Of all the wonderful and thrilling reads available this pedantic piece of semi-scientific fluffery isn't worth the time or effort.  Better off reading a textbook on statistics than dwelling on those living at the edge of the bell curve.  Flip a coin, what's the chance it will land on its edge?  That's the chance a High School student will have of enjoying this book.",2013-08-04,Estados Unidos
Ada Santos,4,Four Stars,Four Stars. is pretty good,2015-02-23,Estados Unidos
brian kearns,5,Changes the way you think about greatness,Changes the way you think about greatness. Gladwell manages to define apparent God given ability into an in depth account of when the right circumstances and hard work come to create greatness.,2013-02-27,Estados Unidos
MavenParadox,5,Fantastic read,"Fantastic read. While it doesn’t go into further depth with some of the statistics and concepts, the ideas and the way they are presented make this a fantastic book. Finished it in less than a week. On to his next, Tipping Point.",2017-11-16,Estados Unidos
Sheila G Harris,4,Four Stars,"Four Stars. great book, great insights.",2014-10-27,Estados Unidos
mark,2,Not For me!,Not For me!. just because it happened once it doesn't mean it must happen again . I don't believe that because your good at seeing and finding patterns you can predict the future.,2013-11-13,Estados Unidos
Alec,4,Four Stars,Four Stars. Good read,2015-06-14,Estados Unidos
Kevin M Mann,4,Four Stars,Four Stars. Great read,2015-05-31,Estados Unidos
reader Bill Royer,5,Outliers,Outliers. The book was delivered in excellent condition - like new and was delivered before the promised date. Cannot ask for more than that!!,2009-10-24,Estados Unidos
Lindaaaa,2,Made well just a stupid book,Made well just a stupid book. Had to read for school.,2017-10-25,Estados Unidos
Martin D. Baloff,4,Four Stars,Four Stars. confusing at the end about jamaica,2014-07-31,Estados Unidos
Renier Carstens,5,Five Stars,Five Stars. Excellently written,2015-03-12,Estados Unidos
Judy Zavatsky,5,Five Stars,Five Stars. Insightful,2015-05-11,Estados Unidos
Kay Barbee,5,Outliers,Outliers. I got this as a gift for my son who is a family man.  He loved it very much and would recommend it himself.,2013-07-03,Estados Unidos
Regina,4,Four Stars,Four Stars. Very good book.,2014-12-10,Estados Unidos
AJH38,5,Very informative,Very informative. Good book so far I haven't finished it yet. If you've ever wondered why some make it to the top and others don't this is the book that has the answers.,2015-03-02,Estados Unidos
donna clement,5,excrement read!,excrement read!. Excellent read. Recommend!!,2014-12-17,Estados Unidos
Kindle Customer,5,Five Stars,Five Stars. Great book,2016-05-06,Estados Unidos
Kanessha Louis,4,Very good book that came in excellent condition,Very good book that came in excellent condition. Exceeded my expectations ... Very good book that came in excellent condition,2014-09-28,Estados Unidos
Jeffrey P. Bair,5,Five Stars,Five Stars. Interesting and great fun to read,2015-07-11,Estados Unidos
Michael,5,Five Stars,Five Stars. A good read.,2014-12-05,Estados Unidos
Shen,5,Five Stars,Five Stars. Very good,2015-04-11,Estados Unidos
david olafson,5,worth the time investment to read,worth the time investment to read. Gladwell has a very unique perspective on success and successful people. Entertaining and eye opening.,2014-07-18,Estados Unidos
Aya Kaneko,5,Five Stars,Five Stars. good!,2014-10-05,Estados Unidos
nb,5,Five Stars,Five Stars. A good read!,2014-08-06,Estados Unidos
Bryant Jones,5,Five Stars,Five Stars. Awesome read!,2015-02-20,Estados Unidos
Gabriel Ueda,5,Marvelous.,Marvelous.. One of the most interesting books I've ever read.,2014-09-15,Estados Unidos
Meghan Michalski,5,Will definitely re-read!,"Will definitely re-read!. Great book, Give a different look as success than we typically here.",2015-01-15,Estados Unidos
Kindle Customer,4,Pretty good considering Cissy isn't a writer,"Pretty good considering Cissy isn't a writer. It was raw,honest, open...AND heartfelt. With her all her warts, regrets and memories, this is a story from a Mother who obviously LOVED her daughter with all her heart. It is told from her obvious pov which gives you new insight into the world of entertainment and celebrity.",2013-04-09,Estados Unidos
Raymundo Bonilla,4,Great book!,Great book!. GREAT BOOK! A must read for everyone.,2014-08-05,Estados Unidos
Ron Reinke,4,Read it,Read it. Good read,2015-10-19,Estados Unidos
cm,5,Five Stars,Five Stars. A great book. I love it.,2014-11-13,Estados Unidos
ryan,5,Five Stars,Five Stars. Great Read!,2015-02-20,Estados Unidos
Ronald O McHargue,5,Five Stars,Five Stars. Great book!,2015-02-14,Estados Unidos
John Finn,5,Five Stars,Five Stars. Fascinating insights!,2014-07-31,Estados Unidos
Eileen M. Ellison,4,Four Stars,Four Stars. enjoyed this different ways of viewing success.,2014-08-14,Estados Unidos
Phillippe,5,Great book by Malcom Gladwell!,Great book by Malcom Gladwell!. I've enjoyed reading Outliers as much as I enjoyed reading Blink.  I would highly recommend both books.,2010-11-19,Estados Unidos
Halim Marrujo,5,Five Stars,Five Stars. Very insightful.,2015-06-14,Estados Unidos
hamad,5,So good,So good. It's great and good book!! I read it for my English class and it's helpful : ) ) ) ),2013-01-20,Estados Unidos
David M. Cervone,5,The Outliers,The Outliers. The best of the three books I have read by Malcolm Gladstone [Tipping Point and Blink]. It provides insights into success that I feel should be shared with my grown children in order for them to understand their impact on their own children.,2009-06-08,Estados Unidos
Ken Archibald,5,Five Stars,Five Stars. Thought provoking...,2014-07-04,Estados Unidos
tanisha,5,Five Stars,Five Stars. great book,2014-09-14,Estados Unidos
Wayne Marshall,5,Fantastic Read,Fantastic Read. This book will show you why and how of success. And you may be surprised by Gladwell's insights into the matter. I would suggest that everybody read this book.,2013-02-07,Estados Unidos
Amazon Customer,5,Five Stars,Five Stars. Gladwell is a genius!,2009-01-09,Estados Unidos
NJS,5,Great Book,"Great Book. Great read, very interesting and compelling.  Gladwell does a great job of bringing concepts to life through examples that are relatable and make sense.  A great read!",2013-09-04,Estados Unidos
Avis Gerber,5,Five Stars,Five Stars. Good information!!!,2014-10-13,Estados Unidos
Nicholas Garritano,5,Thoroughly enjoying Outliers,"Thoroughly enjoying Outliers. Had to buy the book for a class, but it really is a great story. My class and I are really enjoying it.",2009-02-27,Estados Unidos
Jim Brimeyer,2,Two Stars,Two Stars. Too much personal stuff,2014-10-27,Estados Unidos
dori zandy,5,Five Stars,Five Stars. Excellent book!! Could not put it down,2014-08-01,Estados Unidos
DD,4,Food for thought book,"Food for thought book. I enjoy books that are thought-provoking. Really is more of an informative book with lots of interesting observations to ponder. Honestly, I am still reading it so I'm not sure what my true final thoughts will be",2013-11-21,Estados Unidos
Jonathan Arellano,4,Four Stars,Four Stars. It's a great book to read,2014-07-20,Estados Unidos
Amazon Customer,5,Fantastic!,"Fantastic!. A fantastic read and gives a fascinating look at success and it's pattern and behind-the-scenes driving forces. I wish this material were taught in schools instead of the cliche, American Dream-sounding fantasies that are normally recited.",2017-01-07,Estados Unidos
L. Morand,4,Insightful,Insightful. This book is excellent. It explained the unexplainable. It help me to better understand the world I live in.  I was truely amazed at the explanation of how certain corners of society worked.  It helped me to better understand myself and how I got to where I am.,2009-06-14,Estados Unidos
Tamara T,5,I enjoyed it.,I enjoyed it.. Very interesting book. I enjoyed it.,2014-10-20,Estados Unidos
Anonymous,5,Five Stars,Five Stars. incredible!,2015-03-11,Estados Unidos
Amam Nazar,5,Five Stars,Five Stars. Good,2015-06-03,Estados Unidos
YSL,3,Outliers: The Story of Success,Outliers: The Story of Success. Product arrived promptly as described.,2014-01-11,Estados Unidos
Jaimie,4,Very Interesting,Very Interesting. It was easy to listen to.  I had never heard anything like it and found it to be very interesting.,2013-06-24,Estados Unidos
